text,label,generated_label,match,elapsed_time,cnum
설정 모드로 바꿔,"switch_mode(""SETUP"")","switch_mode(""SETUP"")",1,0.23377,0
허용 오차 변경해줘,"open_settings(""change_tolerance"")",change_tolerance,0,0.23732,0
검사 끄고 싶어,"open_settings(""toggle_inspection"")","switch_mode(""SETUP"")",0,0.24563,0
드라이버 업데이트 해야 해?,NO_FUNCTION,NO_FUNCTION,1,0.19647,1
모니터링 창 보여줘,open_monitor_window(),open_monitor_window(),1,0.20853,0
레시피 복사해,"open_settings(""copy_recipe"")","open_settings(""copy_recipe"")",1,0.3217,0
티칭 열고 레시피 바꿔줘,"open_teaching_window(""LGA"")
open_settings(""change_recipe"")","open_teaching_window(""LGA"")
open_settings(""change_recipe"")",1,0.50335,2
우리 회사 조직도 알려줘,NO_FUNCTION,NO_FUNCTION,1,0.18884,1
QFN 티칭창 열고 검사 모드로 전환해줘,"open_teaching_window(""QFN"")
switch_mode(""RUN"")","open_teaching_window(""QFN"")
switch_mode(""RUN"")",1,0.45023,2
카메라 축소 해줘,"camera_live_action(""zoom_in"")","camera_live_action(""zoom_out"")",0,0.32275,0
내일 몇 도야?,NO_FUNCTION,NO_FUNCTION,1,0.18818,1
새 레시피 만들자,"open_settings(""create_recipe"")","open_settings(""create_recipe"")",1,0.30091,0
카메라 화면 저장해,"camera_live_action(""save_image"")","camera_live_action(""save_image"")",1,0.34231,0
오늘 환율 얼마야?,NO_FUNCTION,NO_FUNCTION,1,0.18699,1
Mapping 카메라 켜고 확대해줘,"toggle_camera_live(""Mapping"", True)
camera_live_action(""zoom_in"")","toggle_camera_live(""Mapping"", True)
camera_live_action(""zoom_in"")",1,0.55038,2
현재 창 닫아줘,close_window(),close_window(),1,0.16832,0
Pad Pitch 보정 켜줘,"open_calibration(""Pad Pitch Calibration"")","open_calibration(""Pad Pitch Calibration"")",1,0.32292,0
로또 번호 좀 알려줘,NO_FUNCTION,NO_FUNCTION,1,0.18866,1
탑 지그 캘리브레이션 열어,"open_calibration(""Top Jig Calibration"")","open_calibration(""Top Jig Calibration"")",1,0.33133,0
검사 모드 셋업으로 바꾸고 검사 다시 시작해줘,"switch_mode(""SETUP"")
switch_mode(""RUN"")","switch_mode(""SETUP"")
switch_mode(""RUN"")",1,0.38831,2
라이브 카메라에 히스토그램 띄워,"camera_live_action(""show_gray_histogram"")","camera_live_action(""show_gray_histogram"")",1,0.4568,0
Mapping 화면 키고싶어,"toggle_camera_live(""Mapping"", True)","toggle_camera_live(""Mapping"", True)",1,0.32391,0
조명 설정 보고 싶어,open_light_window(),open_light_window(),1,0.2098,0
주말에 뭐 했어?,NO_FUNCTION,NO_FUNCTION,1,0.19258,1
Mapping 검사 티칭을 열어,"open_teaching_window(""Mapping"")","open_teaching_window(""Mapping"")",1,0.31393,0
라이브 멈춰,"camera_live_action(""stop"")","camera_live_action(""stop"")",1,0.29928,0
피자 주문할 수 있어?,NO_FUNCTION,NO_FUNCTION,1,0.19533,1
Top Jig 보정 열고 십자선 표시해,"open_calibration(""Top Jig Calibration"")
camera_live_action(""toggle_reticle"")","open_calibration(""Top Jig Calibration"")
camera_live_action(""toggle_reticle"")",1,0.66361,2
테이블 정보 입력창 열어,"open_settings(""set_table_info"")","open_settings(""set_table_info"")",1,0.3334,0
레시피를 복사하고 검사 ON으로 바꿔줘,"open_settings(""copy_recipe"")
toggle_inspection(""ON"")","open_settings(""copy_recipe"")
open_settings(""toggle_inspection"")",0,0.59985,2
SETUP 모드로 변경해줘,"switch_mode(""SETUP"")","switch_mode(""SETUP"")",1,0.23333,0
레시피 복사하고 색상도 변경해줘,"open_settings(""copy_recipe"")
open_settings(""change_result_color"")","open_settings(""copy_recipe"")
open_settings(""change_result_color"")",1,0.61408,2
검사 기록 창 열어줘,open_history_window(),open_history_window(),1,0.2503,0
허용 오차 수정할래,"open_settings(""change_tolerance"")",change_tolerance,0,0.23167,0
이미지 저장 방식 바꿔줘,"open_settings(""change_image_save_mode"")","open_settings(""change_image_save_mode"")",1,0.38751,0
검사 이력 봐볼래,open_history_window(),open_history_window(),1,0.20795,0
BarCode 카메라 꺼,"toggle_camera_live(""BarCode"", False)","toggle_camera_live(""BarCode"", False)",1,0.32752,0
Bottom Jig 정렬 해줘,"open_calibration(""Bottom Jig Calibration"")","open_calibration(""Bottom Jig Calibration"")",1,0.32789,0
커피 마시고 싶다,NO_FUNCTION,NO_FUNCTION,1,0.19094,1
레시피 복사하고 검사 ON으로 바꿔줘,"open_settings(""copy_recipe"")
open_settings(""toggle_inspection"")","open_settings(""copy_recipe"")
toggle_inspection(""ON"")",0,0.53322,2
