User_input,Current_window_info,System_prompt,LLM_output
strip 창 켜줘,{},,"json
/windows/strip
"
bga 창 켜줘,{},,"json
/windows/teaching/bga
"
setting 창 켜줘,{},,"json
/windows/settings
"
strip 창 열어줘,{},,"json
/windows/strip
"
/windows/teaching/strip,{},,"json
/windows/teaching/strip/update?propertyName=Roi&value=N-N-N-N
"
/windows/teaching/strip,{},,"json
/windows/teaching/strip/update?propertyName=Roi&value=N-N-N-N
"
/windows/teaching/strip,{},,"json
/windows/teaching/strip/update?propertyName=Roi&value=N-N-N-N
"
/windows/teaching/strip 이거 그대로 바환,{},,"json
/windows/teaching/strip
"
"Strip 창 roi add, /teaching/Strip/update?propertyName=Roi&value=add",{'strip': 'Barcode'},strip,/teaching/strip/update?propertyName=PadRois&value=add
strip 창 켜줘,{},,"json
/windows/strip
"
strip 창 열어줘,{},,"json
/windows/strip
"
strip,{},,"json
/windows/teaching/strip
"
strip roi add,{'strip': 'Barcode'},strip,/teaching/strip/update?propertyName=Roi&value=add
안녕,{},,/settings/update?propertyName=GvisionCurrentInfo&value={}
값 변경해줘,{'settings': 'Recipe'},settings,/settings/update?propertyName=Recipe&value=값
히스토리 창 열어줘,{'settings': 'Recipe'},settings,"json
/windows/history
"
history 열어,"{'settings': 'Recipe', 'history': 'NoTab'}",history,/windows/history
history 열어,{},,"json
/history/update?propertyName=date&value=2023-10-01_2023-10-31
"
히스토리,{},,"json
/history/update?propertyName=date&value=2023-10-27_2023-10-28
"
안녕,{},,/settings/update?propertyName=GvisionCurrentInfo&value={}
bga 창열어줘,{},,"json
/windows/teaching/bga
"
설명해줘,{},,"제가 제공하는 기능은 주로 반도체 공정 검사 시스템 내에서 사용자 인터페이스와 관련된 API 호출 주소들을 정확하게 제공하는 데 초점을 맞추고 있습니다. 사용자의 요청에 따라 특정 티칭 창(예: BGA, QFN, LGA 등), 설정 변경, 테스트 실행, 조명 설정 등 다양한 기능에 대한 API 주소를 반환합니다. 하지만, ""Gvision Current Info""에 대한 구체적인 정보나 요청은 현재 제공된 정보 범위"
mapping,{},,"json
/teaching/mapping/update?propertyName=GridRoi_&value=N-N-N-N
"
모든 창 꺼줘,{},,"json
/closeWindows
"
모든 창 열어줘,{},,"json
/windows/teaching/lga
/windows/teaching/qfn
/windows/teaching/mapping
/windows/teaching/strip
/windows/history
/windows/light/live?camera=PRS
/windows/light/live?camera=BarCode
/windows/light/live?camera=SettingX1
/windows/light/live?camera=SettingX"
모든 창 꺼줘,{},,"json
/closeWindows
"
런모드 켜줘,{},,"json
/mode/set?mode=RUN
"
exit,"{'PRS Device View': 'NoTab', 'Mapping Device View': 'NoTab', 'PRS Inspection': 'NoTab', 'Mapping Inspection': 'NoTab', 'Top Strip Inspection': 'NoTab', 'FloatingMenuWindow': 'NoTab', 'Detail Inspection Result': 'NoTab', 'X1 Picker Device View': 'NoTab', 'X2 Picker Device View': 'NoTab', 'PRS Result View': 'NoTab', 'Mapping Result View': 'NoTab'}",mapping,/NO_FUNCTION
모든 창 켜줘,"{'PRS Device View': 'NoTab', 'Mapping Device View': 'NoTab', 'PRS Inspection': 'NoTab', 'Mapping Inspection': 'NoTab', 'Top Strip Inspection': 'NoTab', 'FloatingMenuWindow': 'NoTab', 'Detail Inspection Result': 'NoTab', 'X1 Picker Device View': 'NoTab', 'X2 Picker Device View': 'NoTab', 'PRS Result View': 'NoTab', 'Mapping Result View': 'NoTab'}",mapping,"json
/windows/teaching/lga
/windows/teaching/qfn
/windows/teaching/bga
/windows/teaching/mapping
/windows/teaching/strip
/windows/history
/windows/light
/windows/calibration
"
PRS live on,"{'PRS Device View': 'NoTab', 'Mapping Device View': 'NoTab', 'PRS Inspection': 'NoTab', 'Mapping Inspection': 'NoTab', 'Top Strip Inspection': 'NoTab', 'FloatingMenuWindow': 'NoTab', 'Detail Inspection Result': 'NoTab', 'X1 Picker Device View': 'NoTab', 'X2 Picker Device View': 'NoTab', 'PRS Result View': 'NoTab', 'Mapping Result View': 'NoTab'}",mapping,/windows/teaching/lga
PRS live off,"{'PRS Device View': 'NoTab', 'Mapping Device View': 'NoTab', 'PRS Inspection': 'NoTab', 'Mapping Inspection': 'NoTab', 'Top Strip Inspection': 'NoTab', 'FloatingMenuWindow': 'NoTab', 'Detail Inspection Result': 'NoTab', 'X1 Picker Device View': 'NoTab', 'X2 Picker Device View': 'NoTab', 'PRS Result View': 'NoTab', 'Mapping Result View': 'NoTab'}",mapping,/mode/set?mode=RUN
PRS live on,"{'PRS Device View': 'NoTab', 'Mapping Device View': 'NoTab', 'PRS Inspection': 'NoTab', 'Mapping Inspection': 'NoTab', 'Top Strip Inspection': 'NoTab', 'FloatingMenuWindow': 'NoTab', 'Detail Inspection Result': 'NoTab', 'X1 Picker Device View': 'NoTab', 'X2 Picker Device View': 'NoTab', 'PRS Result View': 'NoTab', 'Mapping Result View': 'NoTab'}",mapping,/windows/teaching/lga
